Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Autorizada de Produção de Biometano (m³/d),Capacidade Processamento de Biogás(m³/d),Volume Processado de Biogás (m³/d),Volume Processado/Capacidade (%) 
06/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"26873,000",88
06/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"27857,000",33
06/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"150966,000",50
06/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"15541,000",26
05/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"393751,000",82
05/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"3,000",0
05/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"28774,000",94
05/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"944,000",1
05/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"172323,000",57
05/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"16298,000",27
04/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"410954,000",86
04/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"2,000",0
04/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"24021,000",78
04/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"0,000",0
04/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"174104,000",58
04/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"5243,000",9
03/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"432395,000",90
03/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"2,000",0
03/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"10656,000",35
03/2023,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"0,000",0
03/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"190154,000",63
03/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"17169,000",29
02/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"455876,000",95
02/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"3,000",0
02/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"18139,000",59
02/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"184478,000",61
02/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"18224,000",30
01/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"406630,000",85
